# 16385 samples -> 686 bus cycles
 10938 MR     a=F158 d=A8 slot=D4 n=12
 10956 MR     a=F159 d=01 slot=D4 n=12
 10974 M1     a=0D06 d=F1 slot=D4 n=15
 11004 MR     a=F15A d=44 slot=D4 n=12
 11022 MR     a=F15B d=98 slot=D4 n=12
 11040 M1     a=0D07 d=C1 slot=D4 n=15
 11070 MR     a=F15C d=10 slot=D4 n=12
 11088 MR     a=F15D d=5F slot=D4 n=12
 11106 M1     a=0D08 d=D1 slot=D4 n=15
 11136 MR     a=F15E d=27 slot=D4 n=12
 11154 MR     a=F15F d=55 slot=D4 n=12
 11172 M1     a=0D09 d=E1 slot=D4 n=15
 11202 MR     a=F160 d=36 slot=D4 n=12
 11220 MR     a=F161 d=55 slot=D4 n=12
 11238 M1     a=0D0A d=08 slot=D4 n=15
 11268 M1     a=0D0B d=D9 slot=D4 n=15
 11298 M1     a=0D0C d=F1 slot=D4 n=15
 11328 MR     a=F162 d=00 slot=D4 n=12
 11346 MR     a=F163 d=01 slot=D4 n=12
 11364 M1     a=0D0D d=C1 slot=D4 n=15
 11394 MR     a=F164 d=00 slot=D4 n=12
 11412 MR     a=F165 d=00 slot=D4 n=12
 11430 M1     a=0D0E d=D1 slot=D4 n=15
 11460 MR     a=F166 d=5C slot=D4 n=12
 11478 MR     a=F167 d=98 slot=D4 n=12
 11496 M1     a=0D0F d=E1 slot=D4 n=15
 11526 MR     a=F168 d=83 slot=D4 n=12
 11544 MR     a=F169 d=01 slot=D4 n=12
 11562 M1     a=0D10 d=FB slot=D4 n=15
 11592 M1     a=0D11 d=C9 slot=D4 n=15
 11622 MR     a=F16A d=7D slot=D4 n=12
 11640 MR     a=F16B d=F3 slot=D4 n=12
 11658 M1     a=F37D d=00 slot=D4 n=15
 11688 M1     a=F37E d=FF slot=D4 n=15
 11730 MW     a=F16B d=F3 slot=D4 n=6
 11748 MW     a=F16A d=7F slot=D4 n=6
 11760 M1     a=0038 d=C3 slot=D4 n=15
 11790 MR     a=0039 d=3C slot=D4 n=12
 11808 MR     a=003A d=0C slot=D4 n=12
 11826 M1     a=0C3C d=E5 slot=D4 n=15
 11868 MW     a=F169 d=01 slot=D4 n=6
 11886 MW     a=F168 d=83 slot=D4 n=6
 11898 M1     a=0C3D d=D5 slot=D4 n=15
 11940 MW     a=F167 d=98 slot=D4 n=6
 11958 MW     a=F166 d=5C slot=D4 n=6
 11970 M1     a=0C3E d=C5 slot=D4 n=15
 12012 MW     a=F165 d=00 slot=D4 n=6
 12030 MW     a=F164 d=00 slot=D4 n=6
 12042 M1     a=0C3F d=F5 slot=D4 n=15
 12084 MW     a=F163 d=01 slot=D4 n=6
 12102 MW     a=F162 d=00 slot=D4 n=6
 12114 M1     a=0C40 d=D9 slot=D4 n=15
 12144 M1     a=0C41 d=08 slot=D4 n=15
 12174 M1     a=0C42 d=E5 slot=D4 n=15
 12216 MW     a=F161 d=55 slot=D4 n=6
 12234 MW     a=F160 d=36 slot=D4 n=6
 12246 M1     a=0C43 d=D5 slot=D4 n=15
 12288 MW     a=F15F d=55 slot=D4 n=6
 12306 MW     a=F15E d=27 slot=D4 n=6
 12318 M1     a=0C44 d=C5 slot=D4 n=15
 12360 MW     a=F15D d=5F slot=D4 n=6
 12378 MW     a=F15C d=10 slot=D4 n=6
 12390 M1     a=0C45 d=F5 slot=D4 n=15
 12432 MW     a=F15B d=98 slot=D4 n=6
 12450 MW     a=F15A d=44 slot=D4 n=6
 12462 M1     a=0C46 d=FD slot=D4 n=15
 12492 M1     a=0C47 d=E5 slot=D4 n=15
